,Abstract Text,Fatal,Fault,Job,Incident Severity,Cause,COMMENT1
13,,yes,company,construction,1,equipmentfail,"At 12:30 p.m. on May 30, 2017, an employee was attempting to pull a steel mat back to the form so it could be tied into place.  He had double wrapped the tie wire around the steel, and was using a 2 by 4 for leverage. He was tied off with one of his lanyards and his positioning hook.  Both items were attached to the same location on the vertical bar beneath the first horizontal bar.  The 2 by 4 snapped causing the employee to lose balance and fall backwards.  The force from the board breaking and the employee falling backwards pulled upwards on the attachment point breaking the wires which were tied around the rebar. This forced the horizontal bar upward allowing the positioning hook and lanyard to slip off the vertical and horizontal steel rebar.  The employee fell approximately 21 feet and was killed from head and internal injuries. "
14,,yes,company,manufacturing,5,unknown,"On May 30, 2017, an employee came to work on Sunday to clean as is customary. The employee went home with respiratory issues.  He had stated that he was not feeling well. Employee was taken to the physician by his brother, from there he was transferred to the hospital by ambulance.  The employee went into respiratory and cardiac arrest and died from possible chemical exposure to chlorine. "
15,,yes,company,manufacturing,1,forklift,"At 10:01 a.m. on May 30, 2017, an employee was struck by a forklift as it was backing out of a truck that was being loaded with wooden pallets. The driver backed out of a truck at the dock, turned, and struck the employee, sending him to the ground. The employee sustained multiple injuries to his left leg, knee, and foot. On May 30, 2017 at 5:30 am, the employee died at home. It was reported that his lungs filled with fluid and he suffered a heart attack. "
16,,yes,company,manufacturing,1,unknown,"At 7:00 p.m. on May 30, 2017, an employee was attempting to move a heavy metal injection mold used for manufacturing plastic parts, when it fell off a shelf and struck him.  The employee received critical injuries to his head and chest, and died on June 2, 2017.  According to Medical Examiner, the cause of death was blunt force injury to the head. "
17,,yes,other,agriculture,5,heatstroke,"At 6:00 p.m. on May 30, 2017, an employee was working in a filed picking eggplants.  The employee was found unresponsive on the ground.  Cause of death was possible heat stoke (pending toxicology report). The employee's core temperature was unknown. "
18,,yes,employee,construction,5,unknown,"At 1:45 p.m. on May 30, 2017, an employee was operating the industrial magnetic based drill.  The employee's safety vest vest was caught-in the drill mechanism. The employee became tangled, choked and he was killed. "
19,,yes,company,construction,1,fall,"At 10:00 a.m. on May 29, 2017, a 38 year old male employee, was working on the ground to clean and chip brush. There were two employees climbing in a tree to trim it at a residential home. One climber looked down toward the ground to check before performing a cut and saw the employee lying on the ground. The climber yelled to the other climber and they responded, finding blood on the back of the injured employee's head. Emergency services were called and the injured employee was transported to a hospital. The employee was hospitalized and later died from a fractured skull. "
20,,yes,company,construction,1,entanglement,"At 3:00 a.m. on May 29, 2017, an employee was connecting a wire cable to the block of a drilling rig. The employee connecting a rope cable from a winch on a pickup truck to the block of a drilling rig was entangled. The employee was caught in between the cord and the winch and was killed.. "
21,,unknown,employee,construction,5,unknown,"At 1:30 p.m. on May 29, 2017, an employee was changing a seal on a power swivel.  The rigging chain on the tong broke, striking the employee in the side of his head. The employee suffered a fractured skull and was killed. "
22,,yes,company,construction,1,negligence,"At 4:15 p.m. on May 28, 2017, an employee was installing metal roof panels approximately 24 feet above ground level.  The employee was using a drill to screw metal roof panels onto structural beams.  The employee was working with his back to the edge of the roof, stepped back, and fell from the roof onto the concrete.  The employee was not wearing safety harness.  Fall protection was not provided. The employee was killed from crushing injuries to the head. "
23,,yes,company,agriculture,1,equipmentmalf,"At 1:30 p.m. on May 27, 2017, an employee was cutting an 18-inch oak tree limb.  The employee was knocked off of the tree by lifelines getting caught by the falling limb being cut away. The climber fell and struck his face into the trunk of the tree and was asphyxiated after hanging in place for over 2 hours. "
24,,yes,employee,construction,1,istringstream,"At 10:22 a.m. on May 26, 2017, an employee was removing roof panels.  The employee fell through a roof opening, struck his head on a concrete floor and was killed. "
25,,yes,employee,manufacturing,5,unknown,"At 5:00 a.m. on May 25, 2017, an employee was cleaning a kitchen hood using a degreaser and other cleaning agents.  According to coworkers, at the end of his work schedule, the worker felt dizzy and with shortness of breath. An ambulance was called, and the worker died on the way to the hospital. The employer was not at the site at the time of the  incident. "
26,,yes,employee,construction,5,unknown,"At 4:00 p.m. on May 25, 2017, an employee was performing cleanup of a work area.  The employee fell through a floor opening/shaft.  The employee struck rocks on the ground, received head trauma and broken bones and was killed. "
27,,yes,company,manufacturing,5,explosion,"At 3:15 p.m. on May 25, 2017, two employees were preparing hot plates to use during fusion of plastic piping.  Other workers at the site were backfilling a trench.  Other workers at the site were welding and using oxyacetylene torches to connect steel piping in a trench.  The piping was connected to a crude oil tank that had been partially emptied, but not washed out or vented.  Flammable vapors ignited and three crude oil tanks exploded.  Flash fire spread to area of trench, resulting in 4th degree burns and killing one worker. Three workers sustained third degree burns and were hospitalized. Two workers sustained first and second degree burns, and were treated and released. "
28,,yes,company,manufacturing,5,explosion,"At approximately 10:48 on May 24, 2017, Employee #1, the owner, and another employee were in the process of neutralizing an empty MP85 odorant tank. The odorant tank had previously been filed with tertiary butyl mercaptan.  The odorant tank was filled with 6% sodium hypochlorite solution.  The group was in the process of setting up the equipment to drain the odorant tank when the odorant tank exploded.  The owner and Employee #1 were standing at the base of the tank while the other employee was standing on a ladder.  Employee #1 and the owner received fatal injuries, and the other employee was lift-flighted to the hospital.  Employee #1 and the owner were pronounced dead at the scene. "
29,,yes,company,manufacturing,5,unknown,"At 10:00 a.m. on May 24, 2017, an employee was tasked with wrapping shrink wrap around used residential water heaters which were then taken to a recycling facility.  While sitting down taking a break under a shade structure, the employee started having chest pains and numbness on his left side. The employee had a heart attack and died. "
30,,yes,company,other,5,oub,"At 6:50 a.m. on May 24, 2017, an employee was driving his truck.  He was observed having a seizure just before he left the storage yard.  The employee had a fatal heart attack. "
31,,yes,company,agriculture,1,uprooted,"At 2:43 p.m. on May 24, 2017, an employee was picking up tree limbs when an approximately 150 foot tree uprooted and struck employee on the head.  The impact from the blow threw the employee onto the ground.  The employee's head struck a sharp rock.  Employee was wearing his issued hard hat.The employee was killed by being struck on the head by a falling tree, and then being thrown down onto a rock. "
32,,yes,company,agriculture,5,unknown,"At 1:45 p.m. on May 24, 2017, an employee was running a string trimmer (Weed eater) to cut down weeds.  The employee complained to a coworker that the heat was getting to him (85 degrees outside) then collapsed. The coworker performed CPR until paramedics arrived approximately 15 minutes later.  The employee died from a possible heart attack. "
33,,yes,company,construction,1,collapse,"At 1:00 p.m. on May 24, 2017, a employee was directing a crane operator while standing inside an excavation for new cesspool installation.  The ground gave away and collapsed.  The employee fell in hole, and was engulfed.  The employee was killed. "
34,,yes,employee,manufacturing,5,negligence,"At 1:25 p.m. on May 24, 2017, an employee was operating a lift truck.  The employee fell while in the process of picking merchandise out of a rack from an elevated lift truck.   A video of the accident showed the employee elevating the lift truck, without parking it close to location of the pick. The employee is observed apparently kneeling in the operator's cabin of the lift truck, then he is observed falling head first through the gap in between the elevated position of the lift truck and the rack.  The employee had been trained and certified in the safe operation of the lift truck, and fall protection had been provided.  The employee was not wearing fall protection at the time of the accident.  The employee had a pre-existing heart condition and fell a distance of 15 feet and 3 inches to floor level. The employee died as a result of his injuries. "
35,,yes,company,construction,1,equipmentfail,"At 1:15 p.m. on May 24, 2017, an employee was nailing a second floor window into place.  The employee was on the outside of the structure standing on a 32 feet extension ladder when reportedly he lost his balance and fell.  The ladder was reportedly placed inside a 30 foot long construction dumpster among the trash and debris which possibly caused the ladder to slip.  The employee was killed by impact when hitting the ground. "
36,,yes,employee,construction,5,istringstream,"On May 23, 2017, an employee was climbing an extension ladder with a packet of roofing shingles. The employee tripped or slipped and fell 18 feet to a concrete slab. The employee was killed. "
37,,yes,other,construction,5,unknown,"At 10:00 a.m. on May 23, 2017, an employee was riding on the back of a pickup truck and fell.  The employee struck his head on the ground and fractured their skull. The employee was hospitalized and treated for his injuries. "
38,,yes,company,agriculture,1,unknown,"At 3:30 p.m. on May 23, 2017, and employee was setting up a drip irrigation system.  The employee was not feeling well, and was taken to a trailer to rest.  The employee had cardiac arrest while he was cooling off in the trailer. The employee suffered fatal heart attack while at work. "
39,,yes,company,construction,5,ndefuyedoyed,"At 1:00 p.m. on May 23, 2017, an employee working in a construction zone was struck and killed by a motor vehicle. The driver didn't yield to workers in a construction zone. "
40,,yes,company,construction,1,equipmentmalf,"At 12:15 p.m. on May 22, 2017, an employee was hitching up a tandem trailer rig. The employee backed the truck and first trailer into a second trailer and then exited the cab to hitch the second trailer.  The parking brake in the truck was not engaged and the working surface had a slight upward incline.  As the trailer was hooked up and the employee hooked up the air brakes, both trailers rolled backwards approximately 8 feet. The first and second trailers jack knifed into one another and the employee was crushed and killed. "
41,,yes,company,agriculture,1,equipmentfail,"At 12:45 p.m. on May 22, 2017, an employee was removing a tree top. As the tree top fell, the employee used a rope system to control the tree's rate of descent. The employee was pulled into the tree base and struck in the head by its falling portion. The employee was killed as a result. "
42,,yes,company,manufacturing,1,falling,"On May 22, 2017, an employee was killed while standing beside a conveyor when he was struck by a fallen log. "
43,,yes,company,construction,5,falls,"At 11:00 a.m. on May 22, 2017, an employee was removing a round metal sign from the outside of  a twostory building.  Other employees were painting curbs on the other side of the parking lot.  The employee accessed the metal sign by erecting a 24 foot aluminum extension ladder, and leaned it against the side of the building just to the east of the building's double glass doors. He used a Milwaukee Sawzall reciprocating power saw to cut the bolts or rivets holding the sign onto the side of the building. During the cutting, the employee fell 16 feet to the concrete sidewalk where he'd spread a drop cloth. A witness sitting in his car waiting to pick up his wife noticed the employee was struggling on the ladder with the saw and the sign. As the sign broke free from the wall, the employee fell about 16 feet. He suffered multiple fractures and dislocations to both arms, fractured ribs, facial and cranial fractures, fractured vertebrae in his neck, and hematoma.  The employee was hospitalized and underwent surgery; however, he died on July 1, 2017 from a pulmonary embolism received due his injuries and lack of mobility following release from the hospital. "
44,,yes,company,construction,5,negligence,"At 10:50 a.m. on May 22, 2017, an employee was assisting a coworker to hand carry a metal panel, measuring 3 feet by 10 feet, to affix to a roof. As the employee held the panel and was walking backwards, he stepped on top of weak roof area used as skylight with fiberglass panel versus steel panel. As a result, the employee fell approximately 15 to 20 feet to a concrete floor below. The employee sustained head and neck trauma , lacerations, and was killed. The incident investigation revealed that the coworker was leading the employee who could not see where he was walking. "
45,,yes,employee,construction,5,electrocution,"At 9:15 a.m. on May 22, 2017, two employees were setting up a 40 foot extension aluminum ladder. As the employees leaned the ladder onto a 13,800 volt power line, one employee was electrocuted, while the other sustained an electric shock, which he was hospitalized and received treatment for burns to his feet and legs. "
46,,yes,company,agriculture,1,equipmentmalf,"At 5:00 p.m. on May 22, 2017, an employee was operating a rideon zeroturn lawnmower (model number: 992278; serial number: 051129) along the side of a ditch. During operation, the mower rolled rolled over into the ditch and pinned the employee underneath. The employee was found dead 4.5 hours later. After further evaluation by the medical personnel, his death was attributed to asphyxiation and/or drowning. "
47,,yes,employee,other,5,unknown,"At 3:00 p.m. on May 22, 2017, an employee hit his right elbow as he slipped on the second step of a stairwell. The employee had mud on bottom of boots due to wet conditions from the previous day  and was swatting at bugs. The employee did not want go to the hospital,  but his coworkers took him anyway. After being admitted to the hospital and treated for his elbow, the employee was released. However, while getting ready to leave, he started feeling dizzy and had trouble catching his breath. The employee gasped for air and then suffered a seizure/heart attack and later died. "
48,,no,employee,manufacturing,3,slip,"At 2:30 p.m. on May 21, 2017, an employee and a coworker were transporting two trash containers using a manually-powered carriage. While at the dumpster area, the employee stepped on a 1 inch roofing nail, puncturing his left foot. The employee was hospitalized and received treatment for his injury. "
49,,yes,company,agriculture,5,equipmentfail,"On May 19, 2017, an employee was operating a logging skidder on a temporary bridge made from logs when the skidder slid off into a pond.  The employee was trapped in the cab of the skidder and was under water for 15 to 20 minutes. While in the cab, the employee went into cardiac arrest. Upon rescue by emergency service personnel, the employee was unresponsive; however, was revived and transported to a nearby hospital, where he later died. "
50,,yes,employee,agriculture,5,heartattack,"At 10:08 on May 19, 2017, an employee was training vines on blackberry plants. Shortly after first break, the employee was observed bending over and holding his chest. He then collapsed and was unresponsive. Emergency services were called and, upon arrival, CPR was administered. However, the employee died as the result of suffering a heart attack. "
51,,yes,company,agriculture,1,equipmentmalf,"At 7:00 p.m. on May 19, 2017, an employee was driving a tractor with a trailer bed carrying aluminum irrigation pipes. The employee along with a coworker were tasked with picking up the irrigation pipes from the rows and put them onto the trailer, and then transporting the pipes to another location. During work, the employee was run over by the left wheel of the trailer. He sustained crushing injuries to his head, back, and ribs, resulting in his death. "
52,,yes,company,manufacturing,1,misuse,"At 5:15 p.m. on May 19, 2017, an employee was on his own personal time, working on a drum that previously contained an unknown chemical. With the drum sealed, the employee initiated welding, which caused its lid to blow off. The employee was struck in the head, resulting in his death. "
53,,yes,company,construction,1,negligence,"At 2:15 p.m. on May 19, 2017, an employee was removing roofing material during a building demolition, when he stepped through insulating material and fell to a concrete slab. The employee was killed as a result of suffering multiplebone fractures and a head injury. The incident investigation reported that the employee was wearing a full-body harness, but was not tied off. "
54,,yes,employee,construction,5,unknown,"At 9:00 a.m. on May 18, 2017, an employee was bending over to pick something up, when he was  struck by a skid steer loader. The employee was killed from crushing injuries. "
55,,yes,company,construction,1,falls,"At 8:00 a.m. on May 18, 2017, an employee was working to level the exterior wall panels of a structure. During work, the employee determined that bracing positioned on the interior of the structure needed to be adjusted. As the employee was positioned on the first floor, 11.5 feet above the concrete basement, to make the necessary adjustments, he stepped backwards into an uncovered opening. The opening was intended to be a stairwell and measured 11.9 feet by 3.6 feet. The employee fell 11.5 feet to the ground and was killed. "
56,,yes,company,construction,1,equipmentfail,"At 8:00 a.m. on May 18, 2017, an employee was on a sidewalk shed cleaning windows using a squeegee. During work, a piece of plank, measuring 4 feet long, that the employee was kneeling on became dislodged from its support. The employee fell, along with the plank, approximately 15 feet to the level below and was killed from a fatal head injury. "
57,,yes,company,manufacturing,1,equipmentmalf,"At 8:45 a.m. on May 18, 2017, an employee was changing a  cooling fan belt of a Toyota forklift (model number: 02-5PO35). During work, the vehicle fell off the lift it was elevated on and crushed the employee's upper torso. The employee was killed as a result of his injuries. "
58,,yes,employee,construction,5,unknown,"At 5:50 p.m. on May 18, 2017, an employee was removing screws from a billboard sign light cover when he fell 65 feet to ground. The employee suffered blunt trauma to his body, resulting in his death. "
59,,yes,company,manufacturing,1,equipmentmalf,"At 5:30 p.m. on May 18, 2017, an employee placed 15 pieces of lumber on a sorter machine using a forklift. During operation of the sorting machine, several pieces of lumber flew from the machine and struck the employee. The employee suffered a head injury and fractured right leg, resulting in his death. "
60,,yes,employee,other,5,unknown,"At 4:30 p.m. on May 18, 2017, an employee was preparing to close out for the end of the day, when he collapsed and died. "
61,,yes,employee,construction,5,unknown,"At 11:00 a.m. on May 17, 2017, an employee was opening a ground mounted 7.2 kv electrical transformer box.The employee slipped and contacted live parts with his hand. The employee was shocked and killed by the live electrical parts. "
62,,unknown,employee,construction,3,misuse,"At 10:25 a.m. on May 17, 2017, an employee was driving a scissor lift through a 8 foot tall door opening and had to cross over a plywood board that covered a 20 inch wide by 6 inch deep drainage ditch. As the employee was crossing the plywood, it snapped and the scissor lift got stuck a ditch that the board was covering. A coworker used another scissor lift to pull the employee and his scissor lift  from the ditch. The stuck scissor lift was freed unexpectedly, "
63,,yes,company,construction,1,crush,resulting in the employee's head being crushed between a 6 inch thick concrete wall and the rail of the scissor lift. The employee was killed.
64,,yes,employee,other,5,istringstream,"At 9:00 a.m. on May 17, 2017, an employee was cutting down a large tree. The tree came off the block, striking the employee in the face. The employee was killed. "
65,,yes,company,construction,1,fall,"At 4:00 p.m. on May 17, 2017, an employee was standing on a scaffold system while signaling a crane to place pre-fab roof panels into place. The scaffold was unguarded and the employee fell to the ground, suffering internal injuries and a lacerated heart, resulting in his death. "
66,,yes,company,other,1,unknown,"At 2:30 p.m. on May 17, 2017, an employee was monitoring residents finishing their cigarette break, when a gust of wind caused a tree to break and fall. As the employee shielded the residents from danger, he was struck in the head. As a result, the employee was killed. "
67,,yes,company,agriculture,5,unknown,"On May 16, 2017, an employee was mowing the median between the east and west bound lanes of a highway. The John Deer tractor he was operating was pulling a 3 blade mowint deck. As the employee was traveling west bound in the median, he ran over a sink hole that measured approximately 5 feet wide by 7 feet long and 4 feet deep. The employee hit his head on the upper canopy (or canopy bars) of the tractor and was knocked unconscious. The tractor traveled approximately 26 feet before the employee fell out of the left side of the vehicle and was run over by the tractor and its mower blades.  The employee was killed as a result of his injuries. "
68,,yes,company,manufacturing,5,explosion,"On May 16, 2017, two employees (one a permanent employee, one a temporary employee) were cleaning (blowing down) the combustible wood fiber/dust from the area surrounding reversing belt #3.  A combustible dust explosion occurred at the facility, and the two employees were taken to burn centers.  One employee succumbed to his injuries. "
69,,yes,company,agriculture,1,unknown,"At noon, on May 16, 2017, a temporary employee was working for a hatchery. During work, he became ill and emergency services were contacted.  The employee became unconscious, which emergency service personnel attempted to resuscitate the employee for 20 minutes. The employee passed died on site. The employee's cause of death was diagnosed as Mitral Valve Prolapse, likely a preexisting medical condition. "
70,,unknown,other,construction,5,unknown,"At 11:30 a.m. on May 16, 2017, an employee was taping, mudding, and smoothing drywall while on a rolling scaffold. The employee fell from the scaffold, suffering a hemorrhagic stroke and epidural hematoma, and was killed. "
71,,yes,employee,construction,1,fall,"At 10:30 a.m. on May  15, 2016, an employee was working from a scaffold deck to lay bricks. During work, he slid off the outrigger support and fell 41.3 feet. The employee struck the concrete floor below and hit his head on a steel beam and was killed. "
72,,yes,other,construction,5,unknown,"At 5:15 p.m. on May 16, 2017, an employee was preparing to paint a car. The employee hooked up his airline respirator to a nitrogen hose instead of to the compressed air hose, resulting in the employee suffering asphyxiation. "
73,,yes,employee,construction,5,ume,"At 2:45 p.m. on May 16, 2017, an employee was performing paving near railroad tracks. The employee stood up during a break and subsequently fell to the ground. The employee was hospitalized. "
74,,yes,employee,agriculture,1,suffocation,"At 1:00 p.m. on May 16, 2017, an employee was blending soy beans from one silo to another. Afterwards, the employee cleared a jam in a grain shoot generated by the soy beans, resulting in him being engulfed and killed by the soy beans. "
75,,yes,company,construction,1,collapse,"Atg 1:00 p.m. on May 16, 2017, an employee was using a tape measure to get a measurement inside of an unprotected excavation, measuring approximately 6.5 feet deep, when it collapsed. The employee was struck in the midsection by the collapsing excavation wall and became buried. The impact of the falling earth crushed the employee's internal organs, including rupturing his aorta. He suffered severe internal bleeding and was killed. "
76,,yes,other,construction,5,unknown,"At 12:00 p.m. on May 15, 2017, an employee was discovered unconscious in a portable toilet. The employee could not be revived and was determined dead from an apparent drug overdose. Drug paraphernalia was found on the employee's person. "
77,,yes,company,manufacturing,1,equipmentfail,"At 11:15 a.m. on May 15, 2017, an employee, who was the owner, was using a scissor lift to perform plumbing work. As he was elevated to 26 feet, working on plumbing lines on the ceiling inside a commercial building, one of the lift's wheels rolled into a ditch. The lift fell to the side, ejecting the employee head first on to the concrete floor. A coworker, who was a subcontractor, observed the incident and came to the employee's aid, as well as outside workers that heard the impact of the lift striking the concrete floor. Despite the immediate response, the employee was killed in the fall. "
78,,yes,employee,construction,5,unknown,"At 11:45 a.m. on May 15, 2017, an employee was driving a John Deere ""Gator"" when he struck an outside wall of a pole barn. The employee was crushed and died from asphyxiation. "
79,,yes,employee,agriculture,1,humanerror,"At 11:30 a.m. on May 15, 2017, an employee was cutting a tree from a basket truck. While the employee was cutting a tree, he decided to tie it to the basket of the truck. As the tree fell, its weight pulled the employee from the bucket. The employee fell approximately 40 to 50 feet and was killed. "
80,,yes,employee,other,5,fall,"At 10:00 a.m. on May 15, 2017, a security officer was out on routine patrol at a downtown business parking structure in Bloomington, IL. The employee was found unresponsive on the first level of the parking garage by two coworkers walking to their cars. The employee died as a result of head injuries sustained in a fall. "
81,,yes,other,construction,5,unknown,"At 9:00 a.m. on May 15, 2017, an ironworker was installing steel decking on a newly constructed commercial building. During the decking operations the employee fell approximately 40 feet to the ground. The employee died as a result of his injuries. "
82,,yes,company,construction,1,equipmentfail,"At 7:15 a.m. on May 15, 2017, an employee was pouring concrete. While pouring concrete, he was  placing concrete that had a failure in the concrete pump and the end section fell on the employee. The employee was killed from blunt force injuries to his upper back. "
83,,yes,other,construction,5,unknown,"At 8:00 p.m. on May 14, 2017, an employee was sitting down on a bench. He fainted and fell on the  platform floor on the 207th Street Terminal (A Line). The employee died from cardiac arrest. "
84,,yes,company,construction,1,equipmentfail,"At 9:00 a.m. on May 13, 2017, an employee was winding the tie down straps on the flatbed trailer while a coworker offloaded bundles of fencing pipes weighing approximately 1,400 lbs from the trailer with a forklift.  The employee was struck by a bundle of fencing material that slid off the trailer and suffered several fractures.  The employee later died from his injuries. "
85,,yes,company,manufacturing,1,malfunction,"At 5:30 p.m. on May 13, 2017, an employee was taking the gear box of an shredder to replace its bearings. As the shredder was raised approximately 3 feet above the ground by a jack and blocks, a malfunction occurred. The shredder fell and struck the employee in the head, killing him. "
86,,yes,employee,other,5,unknown,"On May 11, 2017, two employees were handing a door through a window from a platform elevated by a forklift and the platform tilted.  Both employees fell with the platform and Employee #1 was killed and Employee #2 was hospitalized. "
87,,yes,company,manufacturing,1,misuse,"At 11:52 a.m. on May 11, 2017, an employee was standing on the forks of the forklift that were being lifted up.  The employee was crushed between the forklift backrest and the truck as the forklift moved forward.  The employee was killed from crushing injuries to the head. "
88,,yes,company,construction,1,negligence,"At 6:15 a.m. on May 11, 2017, an employee was walking next to his tow truck along the shoulder towards a disabled vehicle to load it on his tow truck. The employee was struck by a minivan, suffered crushing injuries, and had one of their legs amputated when struck.  The employee was killed. "
89,,yes,employee,retail,1,ume,"At 5:15 p.m. on May 11, 2017, an employee was using a power stocker lift to stock merchandise.  The employee fell from the lift and was killed. "
90,,yes,other,retail,5,unknowns,"At 3:00 p.m. on May 11, 2017, an employee was working in a small family-owned gift shop and suffered a stroke.  The County Coroner issued a finding that the employee died from a pre-existing medical condition. "
91,,unknown,other,construction,5,unknown,"At 9:15 a.m. on May 10, 2017, an employee was unloading a feed truck at a hog lot while standing on a ladder.   The employee fell and hit the left side of their head on the back end of the trailer, killing the employee. "
92,,yes,employee,construction,1,falls,"At 9:00 a.m. on May 10, 2017, and employee was inside an existing garage standing on an elevated unguarded storage area looking for materials.  The employee stepped onto a 3/8 inch thick board that was hanging over the edge of the platform and fell approximately 8 feet to the cement floor, killing the employee "
93,,yes,company,agriculture,1,negligence,"At 8:30 a.m. on May 10, 2017, an employee was working as a garbage worker and walked to some trash cans that were standing behind a garbage truck.  The employee was struck by the garbage truck and crushed under the rear tires as it was driven while in reverse.  The employee was killed. "
94,,yes,employee,manufacturing,1,falls,"At 6:30 p.m. on May 9, 2017, an employee was trying to stabilize a load of freight inside a trailer.  The employee climbed on top of the load and instructed a coworker to move the load into the trailer while they were on top.  The employee fell approximately 5 feet onto the trailer floor and was hospitalized with several fractured ribs.  The  employee died several days later due to complications from their injuries. "
95,,unknown,employee,manufacturing,3,unknown,"At 2:35 p.m. on May 9, 2017, an employee was driving an Isuzu box truck west on Highway 6 after making a delivery.  The employee was navigating a left hand curve when the truck crossed the centerline and struck an eastbound chip truck.  The initial report did not provide specifics or contain a description of injuries. "
96,,yes,employee,construction,5,istringstream,"At 6:30 p.m. on May 8, 2017, an employee was installing a metal roof deck and fell approximately 30 feet to the ground.  The employee was killed from their injuries. "
97,,yes,employee,other,1,unknownscoref,"At 4:12 p.m. on May 8, 2017, an employee was caught in or between and was killed. No additional information or specifics were provided regarding this incident. "
98,,yes,company,construction,1,fall,"At 12:15 p.m. on May 7, 2017, an employee was stretching a protective membrane over the top of a commercial roof structure.  The employee fell approximately 28 feet from the roof and struck the ground.  The employee was killed as a result of their injuries. "
99,,yes,employee,agriculture,1,fall,"At 1:30 p.m. on May 7, 2017, an employee was cutting the top off of a dead tree so that it could be removed.  The employee fell from the tree as he moved down the tree to make a new cut and was killed when they struck the ground. "
